City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Los Llanos De Aridane,ES,2022-12-15 22:42:11,28.6585,-17.9182,60.55,68,0,6.91
213,Ropczyce,PL,2022-12-15 22:42:11,50.0523,21.6089,30.81,98,100,6.82
214,Husavik,IS,2022-12-15 22:42:11,66.0449,-17.3389,18.41,78,100,5.32
215,Tommot,RU,2022-12-15 22:42:12,58.9564,126.2925,-18.24,94,100,7.83
216,Kruisfontein,ZA,2022-12-15 22:42:12,-34.0033,24.7314,67.19,90,43,1.74
217,Yamada,JP,2022-12-15 22:42:12,39.4667,141.95,32.63,72,75,6.58
218,Dunedin,NZ,2022-12-15 22:38:43,-45.8742,170.5036,61.81,98,100,3.94
219,Naze,JP,2022-12-15 22:42:13,28.3667,129.4833,58.12,80,100,17.98
220,Georgetown,MY,2022-12-15 22:41:15,5.4112,100.3354,80.53,86,20,9.22
221,Fairbanks,US,2022-12-15 22:41:41,64.8378,-147.7164,8.94,80,100,12.66
222,Taoudenni,ML,2022-12-15 22:42:13,22.6783,-3.9836,77.36,18,0,5.64
223,Akdepe,TM,2022-12-15 22:42:13,42.0551,59.3788,28.49,57,100,8.97
224,San Quintin,MX,2022-12-15 22:42:14,30.4833,-115.95,60.1,49,94,9.73
225,Shingu,JP,2022-12-15 22:42:14,33.7333,135.9833,40.84,74,6,5.88
226,Chunoyar,RU,2022-12-15 22:42:14,57.4467,97.3217,2.17,95,100,8.25
227,Bathsheba,BB,2022-12-15 22:42:15,13.2167,-59.5167,81.21,89,40,16.11
228,Igrim,RU,2022-12-15 22:42:15,63.1906,64.4162,12.92,93,100,8.48
229,Severo-Kurilsk,RU,2022-12-15 22:38:58,50.6789,156.125,27.3,69,89,16.22
230,Oranjemund,NA,2022-12-15 22:42:15,-28.55,16.4333,67.66,91,1,10.13
231,Inhambane,MZ,2022-12-15 22:43:16,-23.865,35.3833,77.85,87,86,4.61
232,Santa Maria,BR,2022-12-15 22:43:07,-29.6842,-53.8069,85.3,32,20,4.61
